Comments,Date,Disposition,Location,Occured,Reported,UCPDI,Outcome
Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),2018-05-26,5/26/18 6:29 PM,18-00532,referred
An individual was found in a vehicle parked at the curb off campus with a gunshot wound to the torso / Victim pronounced dead at the scene / CPD case JB280624,Information,CPD,5006 S. Drexel (Public Way),2018-05-27,5/27/18 8:27 AM,18-00533,cpd
Key to a UC owned vehicle lost in building,Lost Property,Closed,5807 S. Woodlawn (Booth School),2018-05-26,5/27/18 8:30 AM,18-00534,closed
An individual struck his head while opening a metal door to the pool area / Transported to ER by CFD EMS for treatment,Injury,Closed,5530 S. Ellis (Ratner A.C.),2018-05-27,5/27/18 3:31 PM,18-00535,closed
An unknown person was seen looking into the complainant's rear window from the porch of an off campus private apartment building / Subject fled via the rear yard,Information,Closed,54th St. between Woodlawn and Kimbark,2018-05-27,5/27/18 4:33 PM,18-00536,closed
Unknown suspect smashed window of parked car and took sunglasses and coins from the vehicle,Theft,Open,5525 S. Cottage Grove (Public Way),2018-05-28,5/28/18 3:21 PM,18-00537,open
Sick person transported to ER by CFD EMS,Medical,Closed,5555 S. Woodlawn (Public Way),2018-05-28,5/28/18 5:52 PM,18-00538,closed
Victim sprayed in the face with a chemical substance by an unknown passenger during a discussion on a CTA bus / Suspect fled / Treated on the scene by CFD EMS / CPD case JB282722,Information,CPD,901 E. 55th St. (CTA Bus),2018-05-28,5/28/18 7:28 PM,18-00539,cpd
Unknown person gained unlawful entry to exam room and took a cyber power battery,Burglary,Open,5758 S. Maryland (DCAM),2018-05-25,5/29/18 9:27 AM,18-00540,open
"An individual received a phone call from an acquaintance asking to meet at 5315 S. Maryland / Suspect entered victim's vehicle, displayed a handgun and took the victim's wallet before fleeing on foot / CPD case JB283959",Information,CPD,5315 S. Maryland (Public Way),2018-05-29,5/29/18 4:30 PM,18-00541,cpd
Unknown person smashed passenger's side window of vehicle parked at the curb,Damage to Property,Open,5721 S. Cottage Grove,2018-05-29,5/29/18 10:28 PM,18-00542,open
"Individuals scrawled graffiti on exterior wall of building / Writing in chalk, no damage to property / Facilities notified",Information,Closed,1116 E. 59th St. (Harper Library),2018-05-30,5/30/18 7:40 AM,18-00543,closed
Individual reports numerous harassing phone calls from an ex-boyfriend,Harassment,Open,5700 S. Maryland (CCD),2018-05-02,5/30/18 3:57 PM,18-00544,open
Staff member reported loss of UCPD issued equipment,Lost Property,Closed,850 E. 61st St. (UCPD HQ),2017-12-01,5/30/18 5:08 PM,18-00545,closed
An underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for treatment,Liquor Law Violation,Referred,5800 S. University (Public Way),2018-05-31,5/31/18 12:32 AM,18-00547,referred
Staff member reports receiving a threatening phone call,Threatening Phone Call,Open,800 E. 55th St. (Friend Center),2018-05-21,5/31/18 9:38 AM,18-00548,open
"During the course of an argument over a parking space, one subject struck the other with his fist / Suspect fled before UCPD was notified",Battery,Open,5725 S. Drexel (Public Way),2018-05-31,5/31/18 11:45 AM,18-00549,open
First Transit supervisor turned over  miscellaneous property found on UC Shuttle buses,Found Property,Closed,850 E. 61st St. (UCPD HQ),2018-05-31,5/31/18 8:22 AM,18-00550,closed
First Transit supervisor turned over a wallet found on a UC Shuttle bus,Found Property,Closed,850 E. 61st St. (UCPD HQ),2018-05-31,5/31/18 11:18 AM,18-00551,closed
Individual lost wallet while in the building,Lost Property,Closed,1100 E. 57th St. (Regenstein),2018-05-30,5/31/18 2:58 PM,18-00552,closed
Unknown person discharged a firearm on the street off campus / Shell casings found / No injuries or property damage reported / CPD case JB287053,Information,CPD,6313 S. Ingleside (Street),2018-05-31,5/31/18 4:08 PM,18-00553,cpd
Leaking pipe reported on lower level / Facilities notified,Information,Closed,5505 S. Ellis (Parking Structure),2018-05-31,5/31/18 5:45 PM,18-00554,closed
Bike left unsecured was taken by unknown person / Follow up investigation revealed the improperly parked bicycle was removed by Facilities staff and moved to the Young Building for safekeeping / No crime occurred,Theft,Unfounded,5800 S. Ellis (Main Quad),2018-05-31,5/31/18 6:03 PM,18-00555,unfounded
Secured bicycle taken from bike rack,Theft,Open,920 E. 58th St. (Cummings Bike Rack),2018-05-31,5/31/18 6:12 PM,18-00556,open
"Subsequent to a stop for a traffic violation, UCPD officer arrested motorist for possession of narcotics",Possession of Narcotics,Arrest,1130 E. Midway Pl.,2018-05-31,5/31/18 8:42 PM,18-00557,arrested
Individual transported to ER by CFD EMS for evaluation and treatment,Mental Health,Closed,Lake Shore Dr. between 50th & 51st,2018-06-01,6/1/18 4:25 AM,18-00558,closed
Unknown person scrawled graffiti on tents / No permanent damage,Information,Closed,5800 S. Greenwood (Main Quad),2018-05-31,6/1/18 10:36 AM,18-00559,closed
Report of suspicious phone calls,Information,Closed,5801 S. Ellis (Levi Hall),2018-05-30,6/1/18 12:46 PM,18-00560,closed
Secured bicycle taken from bike rack,Theft,Open,924 E. 58th St. (Pritzker School Bike Rack),2018-05-31,6/1/18 4:17 PM,18-00561,open
"Laptop taken from unattended, unsecured backpack in 2nd floor lounge",Theft,Open,1118 E. 58th St. (Eckhart Hall),2018-06-01,6/1/18 7:19 PM,18-00562,open
Wallet found on sidewalk was inventoried for safekeeping at UCPD HQ,Found Property,Closed,1449 E. 57th St. (Public Way),2018-06-01,6/1/18 4:47 PM,18-00563,closed
An individual walking on the sidewalk was approached from behind by an unknown suspect riding a bicycle / The suspect forcefully took the victims backpack before fleeing northbound / The victim reported a minor abrasion related to the struggle / The Chicago Police Department is investigating this crime / CPD JB289519,Information,CPD,902 E. 60th St. (Public Way),2018-06-02,6/2/18 10:28 AM,18-00564,cpd
Secured bicycle taken from bike rack,Theft,Open,860 E. 59th St. (Goldblatt Bike Rack),2018-06-03,6/3/18 1:34 PM,18-00565,open
Small amount of marijuana confiscated from three people sitting in a car / Marijuana inventoried for proper disposal,Information,Closed,5107 S. Blackstone (Parking Lot),2018-06-03,6/3/18 6:49 PM,18-00566,closed
Sick person transported to ER by CFD EMS for evaluation and treatment,Information,Closed,1156 E. 63rd St. (Public Way),2018-06-04,6/4/18 2:14 AM,18-00567,closed
Number generated in error,Void,Void,Void,NA,Void,18-00568,void
"Suspicious person was escorted from the building by staff  / Suspect not on scene when UCPD was notified / As a result of follow up investigation, the suspect was identified, located and arrested by UCPD officers on 6/5/18 / Charged with felony",Sex Offender - Prohibited Zone,Arrest,5800 S. Stony Island (Shapiro Hall),2018-06-04,6/4/18 8:26 AM,18-00569,arrested
Unknown person gained unlawful entry to secured room and took a Canon camera from an unsecured desk drawer,Burglary,Open,5841 S. Maryland (Billings Hospital),2018-05-17,6/4/18 2:29 PM,18-00570,open
Suspect fondled victim walking on the sidewalk / Suspect was detained by UCPD officers on patrol / Suspect turned over to CPD and placed under arrest,Assist Other Agency,Arrest / CPD,5800 S. Stony Island (Public Way),2018-06-04,6/4/18 2:04 PM,18-00571,arrested
One person struck another person during a dispute / Victim declined to prosecute the suspect / Peace restored,Battery,Ex. Cleared,5656 S. Maryland (UCM ER),2018-06-04,6/4/18 8:36 PM,18-00572,cleared
Unknown person unlawfully entered an unsecured office and took a purse from desk top,Burglary,Open,860 E. 59th St. (Goldblatt),2018-06-05,6/5/18 9:51 AM,18-00573,open
Number generated in error,Void,Void,Void,NA,Void,18-00574,void
Information regarding two students involved in an altercation / Handled by school administration,Information,Closed,6300 S. University (Woodlawn Charter School),2018-06-05,6/6/18 11:32 AM,18-00575,closed
Individual transported to Comer ER for evaluation and treatment,Mental Health,Closed,6300 S. University (Woodlawn Charter School),2018-06-06,6/6/18 1:03 PM,18-00576,closed
Individual fell while playing in play area injuring left wrist / Transported to Comer ER by CFD EMS for evaluation and treatment,Medical,Closed,5838 S. Kenwood (Lab School),2018-06-06,6/6/18 4:18 PM,18-00577,closed
Individual was arguing with his girlfriend when an unknown suspect threw him to the ground / Suspect arrested by CPD officer / CPD case JB295868,Information,CPD,5118 S. Lake Park (Public Way),2018-06-06,6/6/18 6:04 PM,18-00578,cpd
Student released chemical spray (pepper spray) in a classroom / CFD EMS treated one individual on the scene / Matter handled by school administration,Information,Referred,"6300 S, University (Woodlawn Charter School)",2018-06-07,6/7/18 8:59 AM,18-00579,referred
UCPD officers assisted CPD officers with a gunshot victim who had been transported by unknown persons to 56th & Maryland / Investigation revealed victim had been shot outside of UCPD patrol area at 47th & Vincennes  / CPD case JB296992,Assist Other Agency,CPD,5600 S. Maryland (Public Way),2018-06-07,6/7/18 2:24 PM,18-00580,cpd
Suspect was seen taking items from the gift shop and exiting without paying / Suspect located and detained by UCM Public Safety Officers / Turned over to UCPD and charged with theft,Theft,Arrest,5815 S. Maryland (Mitchell Gift Shop),2018-06-07,6/7/18 3:47 PM,18-00581,arrested
Individual transported to ER for evaluation and treatment,Mental Health,Closed,1414 E. 59th St. (I-House),2018-06-08,6/8/18 5:48 AM,18-00582,closed
An individual found an expended shell casing on the sidewalk near the curb / Casing turned over to UCPD,Found Property,Closed,1009 E. 57th St. (Public Way),2018-06-08,6/8/18 11:40 AM,18-00583,closed
Information regarding harassment via social media / Individual previously reported activity to Chicago police / CPD case JB294358,Information,CPD,5530 S. Ellis (Ratner A.C.),2018-06-05,6/8/18 3:59 PM,18-00584,cpd
Owner reported scratches on driver's side door and a small dent in chrome trim on car parked in parking lot / Cause of damage is unknown at this time,Damage to Property,Closed,5555 S. Ellis (Young Parking Lot),2018-06-08,6/8/18 5:06 PM,18-00585,closed
Individual reported losing iPhone while in the building,Lost Property,Closed,915 E. 60th St. (Logan Center),2018-06-08,6/8/18 8:52 PM,18-00586,closed
"Two unknown suspects, one armed with a knife, attempted to take property from a victim walking on the sidewalk off campus / Victim resisted and was stabbed in the shoulder / Transported to ER by CFD EMS for treatment / CPD case JB299114",Information,CPD,5259 S. Lake Park (Public Way),2018-06-09,6/9/18 12:44 AM,18-00587,cpd
"Two unknown suspects, one armed with a handgun, took an iPhone and wallet from a victim walking on the sidewalk off campus / CPD case JB299233",Information,CPD,5400 S. Kimbark (Public Way),2018-06-09,6/9/18 3:10 AM,18-00588,cpd
Small amount of marijuana found in patient's room / Turned over to UCPD for proper disposal,Found Property,Closed,5815 S. Maryland (Mitchell Hospital),2018-06-09,6/9/18 7:30 AM,18-00589,closed
Parked UC owned vehicle struck by golf cart resulting in minor damage to the front bumper / 2018-MVA00117,Traffic Incident,Closed,5801 S. Ellis (Public Way),2018-06-09,6/9/18 8:33 AM,18-00590,closed
Staff member found credit card in the Quad / Inventoried at UCPD for safekeeping,Found Property,Closed,1100E. 58th St. (Main Quad),2018-06-09,6/9/18 6:36 PM,18-00591,closed
Unknown person(s) forcibly entered an off campus retail establishment by smashing the glass front door / Two bicycles taken / CPD case JB300643,Information,CPD,"57th St, between Blackstone & Harper",2018-06-10,6/10/18 7:23 AM,18-00592,cpd
15 motorists disobeyed police and parked in an area on campus that was designated a no parking area / CPD issued citations,Information,CPD,5700 S. Ellis (Public Way),2018-06-09,6/9/18 3:55 PM,18-00593,cpd
A credit card found by an individual in the Main Quadrangle was turned over to UCPD for safekeeping,Found Property,Closed,5800 S. Greenwood (Main Quad),2018-06-09,6/11/18 8:40 AM,18-00594,closed
On-going dispute between two staff members / Conflicting accounts of incident / Informed complainant of warrant process,Assault,Closed,1155 E. 57th St. (Quad Club),2018-05-18,6/11/18 1:01 PM,18-00595,closed
Individual lost wallet while in the building,Lost Property,Closed,5758 S. Maryland (DCAM),2018-06-11,6/11/18 2:30 PM,18-00596,closed
Disturbance involving a Woodlawn Charter School student and a parent / Peace restored,Information,Closed,6300 S. University (Public Way),2018-06-11,6/11/18 5:46 PM,18-00597,closed
Individual standing at CTA bus stop off campus was struck by an unknown subject who took the victim's iPhone and ran westbound on E. 63rd St. / CPD case JB303301,Information,CPD,6250 S. Cottage Grove (Public Way),2018-06-12,6/12/18 7:31 AM,18-00598,cpd
"Victim, sitting in a car parked on the street off campus, suffered multiple gunshot wounds when an unknown person exited a passing vehicle and fired shots into the victim's car / Transported to MER by an acquaintance / CPD case JB303716",Information,CPD,4420 S. Drexel (Public Way),2018-06-12,6/12/18 1:27 PM,18-00599,cpd
"Disorderly, unauthorized individual refused multiple warnings to leave the property / Arrested by UCPD officers / Charged with criminal trespass and reckless conduct",Trespass,Arrest,6300 S. University (Woodlawn Charter School),2018-06-12,6/12/18 3:20 PM,18-00600,arrested
Phosphine gas leak reported on 5th floor / CFD and UC Safety responded / Area cleared by CFD at 7:08 PM / No injuries reported,Haz Mat Incident,Closed,929 E. 57th St. (Gordon Center),2018-06-12,6/12/18 5:52 PM,18-00601,closed
Unknown person took a bag containing personal items from a locker in the women's locker room,Theft,Open,5530 S. Ellis (Ratner A.C.),2018-06-09,6/12/18 6:36 PM,18-00602,open
"UC owned vehicle involved in traffic crash / Property damage only, no injuries reported",Traffic Incident,Closed,450 Cityfront Plaza,2018-06-13,6/13/18 1:29 PM,18-00603,closed
Information of a student leaving school without proper authorization,Information,Closed,6300 S. University (Woodlawn Charter School),2018-06-14,6/14/18 10:01 AM,18-00604,closed
Secured bicycle taken from bike rack,Theft,Open,900 E. 57th St. (Knapp Center),2018-06-13,6/14/18 10:31 AM,18-00605,open
Disturbance caused by two students in the cafeteria / Peace restored,Information,Closed,6300 S. University (Woodlawn Charter School),2018-06-14,6/14/18 12:05 PM,18-00606,closed
"Credit cards and cash taken from unattended, unsecured wallet left on bench in 7th floor women's locker room",Theft,Open,5700 S. Maryland (CCD),2018-06-14,6/14/18 5:47 PM,18-00607,open
A disruptive individual refused to leave property and was detained by UCM Public Safety and arrested by UCPD officers for trespass to land,Trespass,Arrest,5700 S. Maryland (CCD),2018-06-14,6/14/18 10:03 PM,18-00608,arrested
"During a traffic stop, UCPD officer confiscated a small amount of marijuana from motorist / Marijuana inventoried for proper disposal",Possession of Narcotics,Closed,5400 S. Lake Park (Public Way),2018-06-14,6/14/18 10:58 PM,18-00609,closed
"Known subject, armed with a handgun, took property from 6 victims while attending a gathering at a private residence off campus / CPD case JB307464",Information,CPD,Ingleside between 54th & 55th,2018-06-15,6/15/18 1:28 AM,18-00610,cpd
Information received regarding a crime committed in Canada / Information forwarded to Canadian law enforcement agency,Information,Closed,850 E. 61st. St. (UCPD HQ),2018-06-15,6/15/18 4:37 PM,18-00611,closed
"As a result of a traffic crash, one vehicle damaged the charter school fence / 2018-MVA00125",Information,Closed,6300 S. University (Woodlawn Charter School),2018-06-15,6/15/18 4:01 PM,18-00612,closed
"While investigating a traffic crash, UCPD officer learned one motorist was wanted on a warrant from DuPage County",Arrest,Arrest,5220 S. Harper (Public Way),2018-06-15,6/15/18 5:40 PM,18-00613,arrested
Unknown suspect walked up to a large group of people on the sidewalk off campus and shot into the crowd before fleeing in a waiting vehicle / Four victims were transported to the University of Chicago Emergency Room. The Chicago Police Department is investigating this shooting / CPD case JB308785,Information,CPD,5302 S. Cornell (Public Way),2018-06-15,6/15/18 10:43 PM,18-00614,cpd
"CPD and UCPD officers responded to report of shots fired off campus / Shell casings found, no report of injuries or property damage / CPD report JB310179",Information,CPD,1503 E. Hyde Park (Public Way),2018-06-17,6/17/18 12:35 AM,18-00615,cpd
Subject took merchandise from off campus retail establishment without paying / UCPD officer detained suspect and found proceeds on his person / Retailer declined prosecution,Theft,Ex. Cleared,1346 E. 53rd St. (Retail Store),2018-06-17,6/17/18 3:40 PM,18-00616,cleared
Subject approached victim standing on the sidewalk off campus talking on cell phone / Suspect pushed victim and snatched cell phone from victim's hand before fleeing to a waiting vehicle that drove eastbound on 57th St. / CPD case JB310924,Information,CPD,5704 S. Kenwood (Public Way),2018-06-17,6/17/18 3:46 PM,18-00617,cpd
Suspect smashed window of an unoccupied vehicle parked at the curb / Arrested by UCPD officer,Damage to Property,Arrest,5324 S. Cottage Grove (Public Way),2018-06-17,6/17/18 5:28 PM,18-00618,arrested
"Unsecured, unattended book bag taken from bench at CTA bus stop",Theft,Open,1174 E. 61st St. (Bus Stop),2018-06-17,6/17/18 9:43 PM,18-00619,open
UCPD officers detained a subject hiding under a vehicle in the alley off campus / Subject wanted by CPD for hit & run traffic crash / Suspect charged with resisting police / battery / trespass to vehicle / traffic charges / CPD case JB311456,Assist Other Agency,CPD / Arrest,5448 S. Cornell (Alley),2018-06-17,6/17/18 10:41 PM,18-00620,arrested
Exterior window pane broken / Cause unknown at this time,Damage to Property,Closed,1010 E. 59th St. (Classics),2018-06-15,6/18/18 8:38 AM,18-00621,closed
Number generated in error,Void,Void,Void,NA,Void,18-00622,void
Unauthorized subject ignored previous oral and written trespass notices was arrested by UCPD officers in the 4th floor of the building,Trespass,Arrest,929 E. 57th St. (Gordon Center),2018-06-18,6/18/18 7:39 PM,18-00623,arrested
Unknown person(s) unlawfully entered an off campus private apartment and took a computer stand / CPD case JB313031,Information,CPD,University between 54th & 55th,2018-06-14,6/18/18 11:57 PM,18-00624,cpd
"Unknown person took a laptop computer from an unsecured, unattended backpack left in an unsecured room",Theft,Open,1118 E. 58th St. (Eckhart),2018-06-18,6/19/18 11:26 AM,18-00625,open
Boyfriend slapped girlfriend during a domestic argument / Suspect arrested by UCPD,Battery,Arrest,5721 S. Maryland (Comer Hospital),2018-06-19,6/19/18 11:42 AM,18-00626,arrested
"UC owned vehicle involved in traffic crash / Property damage only, no injuries reported",Traffic Incident,Closed,6054 S. Drexel (Parking Structure),2018-06-19,6/19/18 3:18 PM,18-00627,closed
Unknown suspect forced entry to basement of off campus private apartment building and took a bicycle / Referred to CPD,Information,CPD,Hyde Park between 54th & 55th,2018-06-19,6/19/18 5:57 PM,18-00628,cpd
Information regarding comments made to a staff member by a patient,Information,Closed,800 E. 55th St. (Friend Center),2018-06-20,6/20/18 10:51 AM,18-00629,closed
Secured bicycle taken from bike rack,Theft,Open,5835 S. Kimbark (Lab School Bike Rack),2018-06-20,6/20/18 1:13 PM,18-00630,open
Wallet found on the street inventoried at UCPD for safekeeping,Found Property,Closed,6100 S. Kimbark (Public Way),2018-06-20,6/20/18 7:17 PM,18-00631,closed
"Unattended, unsecured backpack left in hallway taken by unknown person",Theft,Open,1025 E. 58th St. (Swift Hall),2018-06-20,6/20/18 8:47 PM,18-00632,open
"Unknown person(s) took a laptop computer, tablet computer, and tools from an unsecured vehicle parked on the street",Theft,Open,6030 S. Ellis (Public Way),2018-06-21,6/21/18 9:04 AM,18-00633,open
"Three unknown subjects approached victim walking on the sidewalk off campus, pushed victim to the ground and fled after taking victim's bag / Two suspects were located and arrested by UCPD officers after they were positively identified by the victim",Robbery,Arrest,5419 S. Kimbark (Public Way),2018-06-21,6/21/18 3:36 PM,18-00634,arrested
"While attempting to quell a disturbance, UCPD officer was struck in the face by suspect / Suspect arrested by UCPD officers and charged with felony aggravated battery",Battery,Arrest,5700 S. Maryland (CCD),2018-06-21,6/21/18 3:10 PM,18-00635,arrested
Secured bicycle taken from bike rack,Theft,Open,969 E. 60th St. (SSA Bike Rack),2018-06-20,6/21/18 5:13 PM,18-00636,open
Parking gate malfunctioned and lowered on roof of UC owned vehicle causing damage / No injuries reported,Damage to Property,Closed,6054 S. Drexel (Parking Structure),2018-06-21,6/21/18 5:32 PM,18-00637,closed
Unknown person(s) gained unlawful entry to private off campus apartment and took victims' property / Referred to CPD,Information,CPD,Dorchester between 56th & 57th,2018-06-21,6/21/18 9:05 PM,18-00638,cpd
"Unknown suspect, armed with a handgun, took cell phone and wallet from an individual standing on the sidewalk off campus / CPD case",Information,CPD,5723 S. Dorchester (Public Way),2018-06-21,6/21/18 9:50 PM,18-00639,cpd
"Bicyclist struck passenger's side rear door of a UC owned vehicle / No injuries reported, property damage only / 2018-MVA00132",Traffic Incident,Closed,Kenwood at 62nd St.,2018-06-22,6/22/18 11:19 AM,18-00640,closed
Individual walking on the sidewalk was approached by an unknown subject and asked for his cell phone / Victim handed his cell phone to the suspect who fled with a companion standing nearby,Theft,Open,5812 S. Ellis (Public Way),2018-06-23,6/23/18 1:26 AM,18-00641,open
Individual found three tablet computers in a trash container / Turned over to UCPD,Found Property,Closed,5812 S. Ellis (Surgery Brain Research),2018-06-23,6/23/18 4:20 PM,18-00642,closed
An individual walking in the alley was approached by two unknown teens riding bicycles / The suspects announced their intention to commit a robbery and grabbed the victims cell phone / The victim was able to take the phone back from the suspect and the suspect struck the victim in the forehead with his fist / Both suspects fled on their bicycles in an unknown direction without taking any property / The victim declined medical attention / Suspect later arrested by UCPD officer,Robbery,Arrest,5751 S. Woodlawn (Alley),2018-06-23,6/23/18 8:17 PM,18-00643,arrested
Individual went to off campus private apartment to meet individual he met via the internet / Parties had a disagreement over money / Suspect and a family member forcibly took cash and wristwatch from victim and escorted him from the apartment / CPD case JB320519,Information,CPD,Kimbark between 61st & 62nd,2018-06-24,6/24/18 12:29 PM,18-00644,cpd
Individual reported being sexually assaulted by an acquaintance in his off campus private apartment / CPD case JB320752,Information,CPD,Harper between 53rd & 54th,2018-06-23,6/24/18 4:09 PM,18-00645,cpd
"Unknown person(s) smashed front window of off campus retail establishment, entered and took a cash register and currency / CPD case JB321313",Information,CPD,Blackstone between 61st & 62nd,2018-06-24,6/25/18 12:27 AM,18-00646,cpd
Two counterfeit checks were deposited into a credit union account / Suspect reimbursed credit union on 8/22/18 / Victim declined to prosecute,Deceptive Practice,Ex. Cleared,5525 S. Ellis (Maroon Credit Union),2018-05-22,6/25/18 8:31 AM,18-00647,cleared
Two unknown subjects broke lock on ice cream freezer and took merchandise,Theft,Open,915 E. 60th St. (Caf� Logan),2018-06-24,6/25/18 9:02 AM,18-00648,open
"Individual entering vestibule of off campus private apartment building was confronted by three unknown suspects riding bicycles / Suspects demanded, and took cash from the victim before fleeing / CPD case JB322818",Information,CPD,5400 S. Harper,2018-06-25,6/25/18 10:53 PM,18-00649,cpd
Patient reports losing a cell phone in his room,Lost Property,Closed,5815 S. Maryland (Mitchell Hospital),2018-06-25,6/26/18 10:27 AM,18-00650,closed
Report of a suspicious email,Information,Closed,850 E. 58th St. (American School),2018-06-25,6/26/18 10:28 AM,18-00651,closed
Individual reports losing wallet that contained credit and debit cards / Victim made aware of unauthorized purchases using lost cards,Deceptive Practice,Open,5757 S. University,2018-06-25,6/26/18 10:32 AM,18-00652,open
Wallet found on UC Shuttle Bus turned over to UCPD / Owner notified / Held for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),2018-06-26,6/26/18 10:17 AM,18-00653,closed
"Delayed report - Individual reports they were sitting in a parked car counting $4,900 cash when an unknown subject, armed with a handgun, opened the car door, took the currency and walked off",Robbery,Open,1158 E. 54th St. (Vehicle Parked on the Street),2018-06-13,6/26/18 1:10 PM,18-00654,open
Individual found a yellow metal ring on the public way / Turned over to UCPD for safekeeping,Found Property,Closed,5600 S. Ellis (Public Way),2018-06-26,6/26/18 3:03 PM,18-00655,closed
Individual found a set of keys on the street / Turned over to UCPD for safekeeping,Found Property,Closed,5800 S. Dorchester,2018-06-27,6/27/18 8:30 PM,18-00656,closed
UCPD officers detained a suspect for theft of services at request of Metra personnel /  Suspect turned over to Metra police,Assist Other Agency,Metra PD,1438 E. 59th St. (Metra Station),2018-06-28,6/28/18 12:26 PM,18-00657,referred
Unknown person(s) entered victim's room and took cash from victim's wallet,Burglary,Open,5500 S. University (Campus North RH),2018-06-25,6/28/18 2:38 PM,18-00658,open
Unknown subject made obscene statement to individual while walking on the sidewalk,Information,Closed,5225 S. Greenwood (Public Way),2018-06-28,6/28/18 4:56 PM,18-00659,closed
"UCPD officer arrested a subject for an outstanding warrant from Edgar County, IL",Arrest,Arrest,5815 S. Maryland,2018-06-28,6/28/18 9:21 PM,18-00660,arrested
Report of harassing phone calls to staff members / Suspect located by UCPD officer and taken into custody on 7/12/18,Harassment,Arrest,5235 S. Harper (UC Offices),2018-06-28,6/29/18 11:30 AM,18-00661,arrested
Subject walked out of the store without paying for merchandise concealed on his person / Arrested by UCPD officers and charged with felony theft,Theft,Arrest,970 E. 58th St. (Bookstore),2018-06-29,6/29/18 12:24 PM,18-00662,arrested
Individual reported ex-husband missing,Missing Person,Open,850 E. 60th St.,2018-06-25,6/29/18 12:01 PM,18-00663,open
Individual found Ventra pass and turned it over to UCPD / Owner notified,Found Property,Closed,850 E. 61st St. (UCPD HQ),2018-06-29,6/29/18 1:09 PM,18-00664,closed
Individual lost a pair of jeans in the laundry room,Lost Property,Closed,1101 E. 56th St. (Max Palevsky RH),2018-06-29,6/29/18 7:12 PM,18-00665,closed
Sick person transported to ER by CFD EMS,Medical,Closed,5555 S. Woodlawn,2018-06-30,6/30/18 4:51 PM,18-00666,closed
CPD and UCPD officers responded to calls of shots fired and found shell casings / No injured persons or property damage reported / CPD case JB329742,Information,CPD,5407 S. Payne Dr. (Public Way),2018-06-30,6/30/18 7:12 PM,18-00667,cpd
Subject took merchandise from a retail establishment without paying  / UCPD officer detained subject but merchant declined prosecution / Referred to CPD,Theft,Referred,1228 E. 53rd St.,2018-06-30,6/30/18 9:55 PM,18-00668,referred
Victim exited vehicle with motor running and doors unlocked / Two unknown suspects entered vehicle and drove off / CPD case JB330190,Theft,CPD,5493 S. Cornell,2018-07-01,7/1/18 3:20 PM,18-00669,cpd
Individual found a live round of ammunition in the play lot / Turned over to UCPD and inventoried for disposal,Found Property,Closed,5601 S. Stony Island (Park District Play Lot),2018-07-01,7/1/18 11:11 AM,18-00670,closed
Unknown person forcibly entered van parked on the street and took tools,Theft,Open,1112 E. 60th St. (Public Way),2018-07-02,7/2/18 10:51 AM,18-00671,open
Individual found a cell phone on the sidewalk off campus / Turned over to UCPD for safekeeping,Found Property,Closed,1380 E. Hyde Park (Public Way),2018-07-02,7/2/18 6:30 PM,18-00672,closed
Secured bicycle taken from bike rack,Theft,Open,924 E. 57th St. (BSLC Bike Rack),2018-07-02,7/2/18 8:50 PM,18-00673,open
Seven small baggies containing white powder found on the street off campus / Tested negative for suspect narcotics / Inventoried at UCPD for disposal,Found Property,Closed,5216 S. Dorchester (Public Way),2018-07-02,7/2/18 7:46 PM,18-00674,closed
"Unknown person(s) smashed glass door, entered off campus establishment and took property / CPD case JB333015",Information,CPD,Stony Island between 63rd & 64th,2018-07-02,7/3/18 1:18 AM,18-00675,cpd
Individual reports losing his wallet in the area of 57th & Drexel,Lost Property,Closed,5700 S. Drexel,2018-06-28,7/3/18 8:50 AM,18-00676,closed
Secured bicycle taken from bike rack,Theft,Open,5524 S. Greenwood (Bike Rack),2018-06-28,7/3/18 12:12 PM,18-00677,open
Individual found two wallets and turned property over to UCPD for safekeeping,Found Property,Closed,5500 S. University (Campus North RH),2018-07-01,7/3/18 6:06 AM,18-00678,closed
Unknown person(s) shattered window of parked vehicle and took currency,Theft,Open,5851 S. Cottage Grove (Public Way),2018-07-03,7/4/18 4:57 AM,18-00679,open
"Trash receptacle fire extinguished by CFD / Damage to receptacle, no injuries reported / Cause unknown at this time",Damage to Property,Closed,5801 S. Ellis (Public Way),2018-07-04,7/4/18 10:34 PM,18-00680,closed
Two unknown suspects forcibly took a wallet from an individual walking on the sidewalk off campus before fleeing on foot / CPD case JB335554,Information,CPD,1403 E. Hyde Park (Public Way),2018-07-04,7/4/18 10:01 PM,18-00681,cpd
Disorderly patient pushed a UCM staff member / Subject arrested by UCPD,Battery,Arrest,5656 S. Maryland (UCM ER),2018-07-05,7/5/18 3:47 AM,18-00682,arrested
"Delivery van, with keys in the ignition and motor running, was taken by an unknown suspect off campus / Van recovered by UCPD after suspect abandoned vehicle and fled on foot",Theft,Open,5704 S. Kenwood,2018-07-05,7/5/18 10:46 AM,18-00683,open
Individual suffering from allergic reaction transported to Comer ER by CFD EMS,Medical,Closed,1100 E. 57th St. (Regenstein Library),2018-07-05,7/5/18 3:47 PM,18-00684,closed
