Comments,Date,Disposition,Location,Occured,Reported,UCPDI
Window on 4th floor of residence hall broken by a projectile,Criminal Damage to Property,Open,6031 S. Ellis (Granville-Grossman RH),2/24/18 2:15 PM to 2:18 PM,2/26/18 9:08 AM,18-00190
Report of a student threatening a teacher / To be handled by school administration,Information,Referred,6300 S. University (Woodlawn Charter School),2/26/18 10:40 AM,2/26/18 11:21 AM,18-00191
Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,5555 S. Woodlawn (Student Counseling Services),2/26/18 12:14 PM,2/26/18 12:14 PM,18-00192
Unknown person scrawled graffiti on wall in men's first floor restroom,Criminal Damage to Property,Open,5640 S. University (Bartlett Commons),2/26/18 7:00 AM to 11:40 AM,2/26/18 1:46 PM,18-00193
Information regarding an ongoing dispute among a group of students / CPD case JB166323,Information,CPD,6300 S. University (Woodlawn Charter School),2/26/18 2:35 PM,2/26/18 3:24 PM,18-00194
Individual was transported to hospital by CFD EMS for mental evaluation and treatment,Information / Mental Health Transport,Closed,6120 S. Ellis (Public Way),2/26/18 6:50 PM,2/26/16 7:05 PM,18-00195
Staff member reported losing diamond ring / Ring found by another person and returned to owner,Lost / Recovered Property,Closed,5700 S. Maryland (CCD),2/27/18 10:23 AM,2/27/18 10:23 AM,18-00196
Sick person transported to ER by CFD EMS,Medical Call,Closed,6031 S. Ellis (Granville-Grossman RH),2/27/18 10:20 AM,2/27/18 10:20 AM,18-00197
UCPD officers assisted other agency on well-being check / Resident found deceased in bedroom of off campus private apartment / CPD case JB167133,Assist Other Agency / Death Investigation,CPD,Woodlawn between 54th & 55th,2/27/18 10:24 AM,2/27/18 10:24 AM,18-00198
"Subject, who had been banned from the hospital, was detained by UCM Public Safety Officer and arrested by UCPD for trespassing",Criminal Trespass to Land,Arrest,950 E. 59th St. (Billings Hospital),2/27/18 11:59 AM,2/27/18 11:59 AM,18-00199
Individual transported to ER for evaluation,Mental Health Transport,Closed,1020 E. 58th St. (Kent),2/27/18 1:30 PM,2/27/18 12:21 PM,18-00200
Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,1009 E. 57th St. (Hitchcock Hall),2/28/18 8:50 AM,2/28/18 8:50 AM,18-00201
Individual reports losing wallet from coat pocket somewhere in the hospital,Lost Property,Closed,5758 S. Maryland (DCAM),2/28/18 10:00 AM,2/28/18 10:30 AM,18-00202
"Unknown suspect took iPhone from the rear pocket of victim while standing in line in the cafeteria / Pursuant to investigation, complainant reported he found the iPhone in the lining of his coat / No crime occurred",Theft from Person,Unfounded,5758 S. Maryland (DCAM Cafeteria)),2/28/18 11:35 AM to 11:40 AM,2/28/18 12:07 PM,18-00203
Unknown suspect grabbed an iPhone from the hand of a victim sitting on a bench in the courtyard of the off campus shopping center / Referred to CPD,Information / Theft from Person,CPD,1555 E. 55th St. (Shopping Center Courtyard),2/28/18 12:50 PM,2/28/18 12:59 PM,18-00204
Driver's side window of vehicle parked on the street broken by unknown person(s),Criminal Damage to Vehicle,Open,848 E. 56th St. (Public Way),2/28/18 2:30 PM to 11:25 PM,2/28/18 11:31 PM,18-00205
Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Liquor Law Violation,Referred,1005 E. 60th St. (Burton-Judson RH),3/1/18 4:19 AM,3/1/18 4:19 AM,18-00206
Computer flash drive taken from desk in office,Theft,Open,5815 S. Maryland (Mitchell Hospital),1/12/18 to 2/7/18  11:00 AM to 12:00 PM,3/1/18 8:30 AM,18-00207
"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was sexually assaulted by an ex-boyfriend and stalked / Due to confidentiality of reporting, limited information is available regarding this incident.",Criminal Sexual Assault / Stalking,No Investigation Referred to Title IX Coordinator,1005 E. 60th St. (Burton-Judson RH),January 2018 / Date and time unknown,3/1/18 9:28 AM,CSA Report    18-015
Subject struck a UCPD officer / Suspect was charged with aggravated battery of a police officer,Battery,Arrest,5706 S. University (Reynolds Club,3/1/18 12:25 PM,3/1/18 12:25 PM,18-00208
Two individuals arguing and causing a disturbance in the hospital / Peace restored,Disturbance,Closed,5721 S. Maryland (Comer Hospital),3/1/18 5:15 PM,3/1/18 5:18 PM,18-00209
Found wallet turned over to UCPD / Inventoried for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),3/1/18 7:16 PM,3/1/18 7:16 PM,18-00210
Individual misplaced laptop in the library / An acquaintance found unattended laptop and returned it to the owner,Lost / Found Property,Closed,1100 E. 57th St. (Regenstein),3/1/18 6:00 PM,3/1/18 8:52 PM,18-00211
Staff member found small amount of marijuana in patient's room / Inventoried by UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),3/1/18 10:50 PM,3/1/18 11:01 PM,18-00212
Sick person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,5630 S. University (Max Palevsky RH),3/2/18 12:42 AM,3/2/18 12:42 AM,18-00213
"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",Criminal Sexual Assault,No Investigation Referred to Title IX Coordinator,1005 E. 60th St. (Burton-Judson RH),3/1/18 2:30 AM,3/2/18 10:32 AM,CSA Report    18-016
Individual walking on the sidewalk off campus was pushed by an unknown suspect who grabbed the victim's cell phone and fled northbound on Woodlawn / CPD case JB171068,Information / Robbery,CPD,5435 S. Woodlawn (Public Way),3/2/18 1:45 PM,3/2/18 2:05 PM,18-00214
"Unknown person unlawfully entered office and took credit card and ID cards from an unattended, unsecured purse",Burglary,Open,1155 E. 60th St. (Harris School),3/2/18 1:15 PM to 1:30 PM,3/2/18 3:26 PM,18-00215
UC owned vehicle involved in minor property damage traffic crash / No injuries reported,Traffic Crash,Closed,1508 E. 52nd St.,3/2/18 5:55 PM,3/2/18 5:56 PM,18-00216
Subject menaced two UCM Public Safety Officers with a knife / Suspect arrested by UCPD and charged with two counts of felony aggravated assault,Aggravated Assault,Arrest,5656 S. Maryland (Emergency Room),3/3/18 5:45 AM,3/3/18 5:47 AM,18-00217
Staff member grabbed another staff member around the neck,Battery,Open,5700 S. Maryland (CCD),1/10/18 7:20 AM,3/5/18 8:15 AM,18-00218
Sick person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,915 E. 60th St. (Logan Center),3/5/18 12:35 PM,3/5/18 12:42 PM,18-00219
Unknown person removed credit card from victim's wallet / Subsequent unauthorized use of credit card reported,Theft,Open,1155 E. 60th St. (Harris School),3/2/18 8:00 AM to 4:40 PM,3/5/18 12:34 PM,18-00220
Subject ignored previous trespass warnings and was arrested by UCPD for trespass,Criminal Trespass to Land,Arrest,5416 S. Cornell (CTU),3/5/18 4:45PM,3/5/18 4:45 PM,18-00222
Secured bicycle taken from bike rack,Theft,Open,5812 S. Ellis (Surgery Brain Research Bike Rack),3/5/18 9:00 AM to 4:20 PM,3/5/18 5:44 PM,18-00223
Staff member observed subject rummaging through a visitor's unattended purse in restroom / Victim declined prosecution,Attempt Theft,Ex. Cleared,5700 S. Maryland (CCD),3/5/18 6:25 PM,3/5/18 6:40 PM,18-00224
Sick person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,1005 E. 60th St. (Burton-Judson RH),3/5/18 8:53 PM,3/5/18 8:53 PM,18-00225
"Contract employee walked into the frame of wall-mounted TV, causing laceration to head / CFD EMS on scene / Employee declined additional medical attention",Injured Person,Closed,5706 S. University (Reynolds Club),3/6/18 1:30 AM,3/6/18 2:01 AM,18-00226
Email message to staff member documented,Information,Closed,5800 S. Stony Island (Shapiro Hall),3/2/18 5:01 PM,3/6/18 10:59 AM,18-00227
"Subsequent to a traffic stop, suspect was arrested for driving with a suspended license, obstructing a peace officer, and a warrant from Cook County Sheriff's Office",Warrant Arrest,Arrest,4300 S. Cottage Grove,3/6/18 2:28 PM,3/6/18 2:28 PM,18-00228
Secured bicycle taken from bike rack,Theft,Open,940 E. 57th St. (Bike Rack),3/6/18 9:30 AM to 4:45 PM,3/6/18 5:01 PM,18-00229
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,1414 E. 59th St. (I-House),Oct-Feb 2018 times unknown,3/7/18 9:12 AM,CSA Report    18-017
Unauthorized subject ignored multiple previous warnings and ban notice was arrested for trespass,Criminal Trespass to Land,Arrest,5807 S. Woodlawn (Booth School),3/7/18 11:06 AM,3/7/18 11:06 AM,18-00230
"Unattended, unsecured iPhone and wallet left in 2nd floor lounge were taken by unknown person",Theft,Open,915 E. 60th St. (Logan Center),3/7/18 12:00 PM to 12:30 PM,3/7/18 3:33 PM,18-00231
Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,5555 S. Woodlawn (Student Counseling Services),3/7/18 4:14 PM,3/7/18 4:14 PM,18-00232
"Three suspects, one armed with a handgun, took a cellphone and wallet from a victim walking on the sidewalk off campus / CPD case",Information / Armed Robbery,CPD,5519 S. Everett (Public Way),3/7/18 7:30 PM,3/7/18 7:56 PM,18-00233
Individual fell onto the floor when attempting to sit on a bench in the auditorium / Complained of pain in left hip / Transported to ER by CFD EMS for evaluation and treatment,Injured Person,Closed,5815 S. Kimbark (Lab School),3/8/18 8:50 AM,3/8/18 8:50 AM,18-00234
Information regarding a suspicious person,Information,Open,5550 S. University (Crown Field House),3/7/18 10:55 PM,3/8/18 7:05 AM,18-00235
"Unauthorized individual entered an office and took an unattended, unsecured iPhone and pouch from a desk / Subsequent to a follow up investigation by UCPD Investigations, the suspect was positively identified, however the victim declined to prosecute",Burglary,Ex. Cleared,5020 S. Cornell (Hyde Park Arts Center),3/8/18 1:10 PM to 1:15 PM,3/8/18 1:46 PM,18-00236
A visitor placed his hands around victim's neck during an altercation / Suspect left before arrival of police,Battery,Open,5656 S. Maryland (UCM ER),3/8/18 1:00 PM,3/8/18 1:04 PM,18-00237
A debit card was taken from a locker in the 3 East locker room / Delayed report,Theft,Open,5700 S. Maryland (CCD),3/5/18 6:40 AM to 11:00 AM,3/9/18 7:51 AM,18-00238
Unauthorized subject ignored previous warnings regarding trespass to the hospital and was arrested by UCPD,Criminal Trespass to Land,Arrest,5721 S. Maryland (Comer Hospital),3/9/18 11:35 AM,3/9/18 11:41 AM,18-00239
A small fire in a trash compactor on the building's exterior was extinguished by CFD / No personal injuries or property damage reported,Fire,Closed,5812 S. Ellis (Surgery Brain Research),3/9/18 1:43 PM,3/9/18 1:43 PM,18-00240
An individual walking on the sidewalk off campus was struck on the head by an unknown object and fell to the ground / CFD EMS transported victim to the hospital for treatment / CPD case,Information / Medical Call,Closed,5700 S. Blackstone (Public Way),`3/9/18 11:25 AM,3/9/18 11:33 AM,18-00241
Individual reported theft of wallet while in building / Subsequent unauthorized use of debit card reported,Theft,Open,5758 S. Maryland (DCAM),3/9/18 1:50 PM to 3:15 PM,3/9/18 3:31 PM,18-00242
Banned subject seen in the library / Suspect fled prior to police arrival,Information,Closed,1116 E. 59th St. (Harper Library),3/9/18 3:30 PM,3/9/18 3:33 PM,18-00243
A set of keys was found / Turned over to UCPD for safekeeping,Found Property,Closed,5850 S. Woodlawn (Rockefeller Chapel),3/9/18 4:25 PM,3/9/18 4:25 PM,18-00244
"Delayed Report / Individual walking on the sidewalk off campus was approached by 5 unknown suspects, one armed with a handgun / Suspects took victim's property and fled on foot / CPD case",Information / Armed Robbery,Referred,1601 E. 55th St. (Public Way),3/10/18 2:30 AM,3/10/18 12:14 PM,18-00245
Suspect snatched iPhone from the hand of an individual walking on the sidewalk / Suspect fled on foot / CPD case,Information / Theft from Person,CPD,1154 E. 57th St. (Public Way),3/10/18 1:05 PM,3/10/18 1:10 PM,18-00246
Information re. a hit & run traffic crash / CPD case JB181419,Information,CPD,4900 S. Lake Shore Dr.,3/11/18 12:50 AM,3/11/18 12:55 AM,18-00247
"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall / Due to confidentiality of reporting, limited information is available regarding this incident",Sexual Assault / Fondling,No Investigation Referred to Title IX Coordinator,1101 E. 56th St. (Max Palevsky RH),2/27/18 unknown time,3/12/18 10:15 AM,CSA Report    18-018
Visitor believes he lost wallet while visiting the hospital,Lost Property,Closed,5700 S. Maryland (CCD),3/11/18 7:30 PM to 8:00 PM,3/12/18 11:23 AM,18-00248
Amazon parcel received and signed for is missing,Lost Property,Closed,915 E. 60th St. (Logan Center),3/1/18 to 3/12/18 1:00 PM to 5:00 PM,3/12/18 5:06 PM,18-00249
UC owned vehicle involved in minor traffic crash in parking garage / No injuries reported / 2010 MVA00041,Traffic Crash,Closed,6054 S. Drexel,3/12/18 6:18 PM,3/12/18 6:18 PM,18-00250
"Five unknown suspects, one armed with a handgun, took cash from a victim walking on the sidewalk off campus / CPD case",Information / Armed Robbery,CPD,5226 S. Ingleside (Public Way),3/12/18 8:30 PM,3/12/18 8:37 PM,18-00251
"Two unknown suspects, one implying a weapon - no weapon seen - took an iPhone and cash from a victim walking on the sidewalk off campus / CPD case",Information / Aggravated Robbery,CPD,5306 S. Ingleside (Public Way),3/12/18 10:00 PM,3/12/18 10:11 PM,18-00252
"In-car license plate reader alerted UCPD officer to a parked, unattended vehicle that had been reported stolen from Madison, WI / Madison police contacted",Recovered Motor Vehicle,Closed,834 E. 53rd St.,3/13/18 9:19 AM,3/13/18 9:19 AM,18-00253
Information relating to a UCPD investigation,Information,Closed,850 E. 61st St. (UCPD HQ),3/12/18 to 3/13/18 10:45 AM to 10:45 AM,3/13/18 10:45 AM,18-00254
Ill person transported to ER by CFD EMS,Medical Call,Closed,6031 S. Ellis (Granville-Grossman RH),3/13/18 1:08 PM,3/13/18 1:08 PM,18-00255
UC ID card and holder found / Inventoried for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),3/13/18 6:18 PM,3/13/18 6:18 PM,18-00256
"Individual seated in parked car was approached by two suspects, both armed with handguns / Suspects took victim's cell phone and fled to a waiting vehicle / CPD case",Information / Armed Robbery,CPD,1302 E. 50th St. (Public Way),3/14/18 1:05 AM,3/14/18 1:26 AM,18-00257
Ill person was transported to the ER by CFD EMS for evaluation and treatment,Medical Call,Closed,5807 S. Woodlawn (Booth School),3/14/18 9:34 AM,3/14/18 9:34 AM,18-00258
"School evacuated due to strong odor of gas / CFD, People's Gas, UC EHS on scene / Pipe in science lab capped / No injuries or illness reported",Haz Mat Incident,Closed,6300 S. University (Woodlawn Charter School),3/14/18 12:10 PM to 1:50 PM,3/14/18 12:20 PM,18-00259
Individual found a small baggie containing marijuana in a public elevator / Turned over to UCPD for proper disposal,Found Narcotics,Closed,5815 S. Maryland (Mitchell Hospital),3/14/18 10:30 AM,3/14/18 12:39 PM,18-00260
Ill person was transported to the ER by CFD EMS for evaluation and treatment,Medical Call,Closed,1100 E. 57th St. (Regenstein),3/14/18 4:11 PM,3/14/18 4:11 PM,18-00261
Individual walking on the sidewalk off campus was approached by three unknown suspects and struck with a blunt object / Suspects took iPhone and wallet before fleeing to a waiting vehicle / CPD case,Information / Armed Robbery,CPD,5409 S. Ingleside (Public Way),3/14/18 7:25 PM,3/14/18 7:51 PM,18-00262
Individual walking off campus in an alley was thrown to the ground by unknown suspect who took a satchel and ran southbound / CPD case JB186091,Information / Robbery,CPD,5117 S. Ellis (Alley),3/14/18 8:50 PM,3/14/18 8:52 PM,18-00263
Secured bicycle taken from bike rack,Theft,Open,5640 S. University (Bartlett Bike Rack),3/14/18 to 3/15/18 3:30 PM to 12:30 AM,3/15/18 2:04 PM,18-00265
UCPD officer located and detained a suspect wanted for theft of merchandise from a store / Suspect identified and arrested by CPD / CPD case JB187427,Assist Other Agency,CPD,1228 E. 53rd St.,3/15/18 9:32 PM,3/15/18 9:32 PM,18-00266
Fraudulent use of credit card reported,Deceptive Practice / Credit Card Fraud,Open,5555 S. Ellis (Young Bldg.),2/9/18 to 2/16/18 12:00 PM to 4:00 PM,3/16/18 2:48 PM,18-00267
Subject involved in traffic crash transported to hospital for mental evaluation and treatment,Information,Closed,6000 S. Stony Island,3/16/18 12:52 PM,3/16/18 12:52 PM,18-00268
Individual suffered multiple gunshot wounds in an apparent targeted shooting while on the sidewalk off campus / CPD case JB188628,Information / Homicide,CPD,5457 S. Cornell (Public Way),3/16/18 9:30 PM,3/16/18 9:30 PM,18-00269
Staff member found drug paraphernalia / Turned over to UCPD for disposal,Found Property,Closed,1101 E. 56th St. (Max Palevsky RH),3/17/18 12:15 PM,3/17/18 12:15 PM,18-00270
Staff member found a cross bow / Turned over to UCPD for safekeeping,Found Property,Closed,5500 S. University (Campus North RH),3/17/18 12:33 PM,3/17/18 12:33 PM,18-00271
Unknown person(s) entered off campus residence via rear window and took property while resident was away / CPD case JB189398,Information / Burglary,CPD,Kimbark between 48th & 49th,3/17/18b 2:47 PM,3/17/18 2:47 PM,18-00272
Staff member turned over a bottle of pills and a folding knife to UCPD for disposal,Found Property,Closed,5500 S. University (Campus North RH),9/30/18 10:30 PM,3/17/18 3:43 PM,18-00273
UCM Public Safety Officers found a small baggie of Marijuana in patient's room / Turned over to UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),3/18/18 7:29 PM,3/18/18 7:29 PM,18-00274
"Subsequent to a traffic stop, UCPD officer confiscated a marijuana cigarette / Contraband inventoried at UCPD for proper disposal",Narcotics,Closed,1601 E. 55th St.,3/19/18 1:44 AM,3/19/18 1:44 AM,18-00275
Information relating to disturbing email messages from a known individual,Information,Open,5500 S. University (Campus North RH),3/19/18 12:48 PM,3/19/18 12:48 PM,18-00276
UCPD officers arrested a juvenile suspect for striking two other juveniles on the street off campus,Battery,Arrest,6300 S. Greenwood,3/19/18 4:00 PM,3/19/18 4:00 PM,18-00277
Ex-girlfriend sent embarrassing photos of subject to friends and co-workers via email / Referred to CPD,Information,CPD,Hyde Park between 52nd & 53rd,3/9/18 to 3/19/18 7:30 AM to 5:40 PM,3/19/18 5:42 PM,18-00278
Individual transported to the ER for evaluation and treatment,Mental Health Transport,Closed,5555 S. Woodlawn (Student Counseling Services),3/20/18 1:01 PM,3/20/18 1:01 PM,18-00279
Individual found unattended iPad on a bench outside of the Reynolds Club / Turned over to UCPD for safekeeping,Found Property,Closed,5706 S. University,3/7/18 12:00 PM,3/21/18 11:45 AM,18-00280
Individual found a Ventra card / Turned over to UCPD for safekeeping,Found Property,Closed,860 E. 59th St. (Public Way),3/21/18 5:44 PM,3/21/18 5:44 PM,18-00281
Individual transported to the ER for evaluation and treatment,Mental Health Transport,Closed,57th St. between Woodlawn & Kimbark,3/21/18 9:14 PM,3/21/18 9:14 PM,18-00282
Unknown person(s) broke window of car parked on the street off campus and took in-car radio / CPD case,Information / Theft,CPD,1700 E. 56th St. (Public Way),3/23/18 3:15 AM,3/23/18 7:44 AM,18-00283
"Suspect, unknown to victim, without cause, threatened victim, both orally and physically while on the sidewalk off campus  / Arrested by UCPD officers",Assault,Arrest,5300 S. Hyde Park (Public Way),3/23/18 12:00 PM,3/23/18 12:04 PM,18-00284
Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,5555 S. Woodlawn (Student Counseling Services),3/23/18 1:10 PM,3/23/18 1:10 PM,18-00285
Subject removed merchandise from the off campus store without paying / Arrested by UCPD,Theft,Arrest,1346 E. 53rd St. (Target),3/23/18 1:45 PM,3/23/18 1:48 PM,18-00286
First Transit employee turned over to UCPD various credit cards and UC ID card found on campus shuttle buses / Inventoried at UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),3/23/18 2:10 PM,3/23/18 2:10 PM,18-00287
UCPD officers responded to a call of a CPD officer needing assistance at the off campus private apartment building / Suspect arrested and charged with resisting a peace officer and criminal trespass to land / CPD case JB198865,Assist Other Agency,CPD/Arrest,5307 S. Hyde Park (Del Prado Apts.),3/25/18 7:20 AM,3/25/18 7:24 AM,18-00288
Individual experiencing abdominal pains transported by CFD EMS to the ER for evaluation and treatment,Medical Call,Closed,1174 E. 55th St. (Public Way),3/25/18 10:55 PM,3/25/18 10:55 PM,18-00289
"Subject, after harassing people on the public way, fled from and kicked a UCPD officer / Suspect transported to ER for mental evaluation / Suspect charged with felony aggravated battery of a peace officer",Battery,Arrest,5800 S. Greenwood (Main Quadrangle),3/26/18 8:59 AM,3/26/18 8:59 AM,18-00290
Individual reports losing wallet while walking between Harper Library and Regenstein Library / Property was later found and returned to the owner intact,Lost / Found Property,Closed,1116 E. 59th St. to 1100 E. 57th St.,3/27/18 11:30 AM to 11:55 AM,3/27/18 11:59 AM,18-00291
"The victim, transported to the UC Medicine ER by an unknown person, suffered a gunshot wound to the abdomen, and was not cooperative in providing details of the shooting to the police at the time / The Chicago Police Department is investigating the incident / CPD JB201781",Information / Aggravated Battery,CPD,6115 S. Ellis,3/27/18 3:55 PM,3/27/18 3:57 PM,18-00292
Individual was warned about causing disturbances in the chapel and warned he would be trespassing if he returned,Information,Closed,5850 S. Woodlawn (Rockefeller Chapel),3/27/18 5:45 PM,3/27/18 4:40 PM,18-00293
Subject took items of merchandise without paying / Suspect detained by UCM Public Safety Officers and arrested by UCPD,Theft,Arrest,5700 S. Maryland (Starbucks Cafe),3/27/18 5:30 PM to 5:40 PM,3/27/18 5:50 PM,18-00294
Unknown person(s) took contents of a parcel delivered to the lobby of the off campus building,Theft,Open,1369 E. Hyde Park (UC Apartment Building),3/26/18 2:00 PM to 7:00 PM,3/27/18 9:04 PM,18-00295
On-going discord between two staff members documented,Information,Closed,5815 S. Maryland (Mitchell Hospital),3/20/18 6:00 PM to 7:00 PM,3/28/18 9:57 AM,18-00296
Sick person transported to Comer ER by CFD EMS for evaluation and treatment,Medical Call,Closed,1362 E. 59th St. (Lab School),3/28/18 11:30 AM,3/28/18 11:35 AM,18-00297
"Subsequent to stopping a motorist for a traffic violation, UCPD officer arrested the motorist for a Violation of Probation warrant from Indiana",Warrant Arrest,Arrest,5300 S. Greenwood,3/28/18 12:26 PM,3/28/18 12:26 PM,18-00298
UCPD officer found IL driver's license in HQ lobby / Inventoried for safekeeping,Found Property,Closed,850 E. 61st  St. (UCPD HQ),3/28/18 3:25 PM,3/28/18 3:51 PM,18-00299
"Three unknown suspects, one implying a weapon - no weapon seen - took two iPhones and two wallets from two victims walking on the sidewalk off campus / CPD case JB203004",Information / Aggravated Robbery,CPD,4900 S. Drexel,3/28/18 3:20 PM,3/28/18 3:27 PM,18-00300
iPhone taken from patient's room,Theft,Open,5700 S. Maryland (CCD),3/26/18 to 3/27/18 6:00 PM to 9:00 AM,3/28/18 4:37 PM,18-00301
Individual was attending a workshop in the auditorium when a person accidently stepped on his foot causing pain / Subject to seek medical attention at a later time,Injured Person,Closed,924 E. 57th St. (BSLC),3/27/18 5:50 PM,3/28/18 5:32 PM,18-00302
Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,1005 E. 60th St. (Burton-Judson RH),3/29/18 3:13 PM,3/29/18 3:13 PM,18-00303
Sick person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,5800 S. Woodlawn (Public Way),3/29/18 5:03 PM,3/29/18 5:03 PM,18-00304
UCPD officer located and detained a suspicious person wanted for investigation by CPD / Suspect turned over to CPD and charged with off campus burglary / CPD case JB204441,Assist Other Agency,CPD,Kimbark between 55th & 56th,3/29/18 6:34 PM,3/29/18 6:34 PM,18-00305
"Subject, without cause, struck a hospital staff member / Arrested by UCPD",Battery,Arrest,5700 S. Maryland (CCD),3/29/18 9:05 PM,3/29/18 9:17 PM,18-00306
"Individual lost a cell phone in the men's locker room, but later found it where he left it on top of a locker",Lost / Found Property,Closed,5530 S. Ellis (Ratner A.C.),3/29/18 8:00 PM to 9:00 PM,3/29/18 9:20 PM,18-00307
Person reported losing lap top computer while in building / Will check locked offices on 3/30/18,Lost Property,Closed,5555 S. Woodlawn (Student Counseling Services),3/29/18 7:00 PM to 8:45 PM,3/29/18 9:13 PM,18-00308
Secured bicycle taken from bike rack,Theft,Open,6054 S. Drexel (Parking Structure Bike Rack),3/29/18 to 3/30/18 7:30 PM to 1:15 PM,3/30/18 2:32 PM,18-00309
"iPhone, last seen in patient's bed, missing from room / Possibly accidently removed when bed sheets were changed",Lost Property,Closed,5815 S. Maryland (Mitchell Hospital),3/30/18 11:00 AM to 1:00 PM,3/30/18 2:17 PM,18-00310
"An individual walking on a sidewalk off campus was approached by two unknown subjects, one of whom said that he had a weapon / The suspects took cash and credit cards from the victim before fleeing southbound on foot / The victim reported no physical injuries / CPD case JB206517",Information / Aggravated Robbery,CPD,5324 S. Woodlawn (Public Way),3/31/18 1:55 PM,3/31/18 2:00 PM,18-00311
"Unauthorized subject, who had received formal written notice that he had been banned from the property, was arrested for trespass by UCPD officer",Criminal Trespass to Land,Arrest,1212 E. 59th St. (Ida Noyes),3/31/18 9:40 PM,3/31/18 9:40 PM,18-00312
Underage individual became ill after consuming alcoholic beverages / Transported to the ER by CFD EMS,Liquor Law Violation,Referred,5630 S. University (Max Palevsky RH),4/1/18 1:24 AM,4/1/18 1:24 AM,18-00313
Sick person transported to the ER for evaluation and treatment,Sick Person,Closed,6200 S. Ellis (Public Way),4/1/18 2:58 AM,4/1/18 2:58 AM,18-00314
Victim suffered gunshot wounds in his vehicle in the 4900 block of Kimbark / Drove car to 56th & Lake Park where car crashed / Circumstances of shooting unknown at the time / Transported to hospital by CFD EMS / CPD case JB207226,Information / Aggravated Battery,CPD,Kimbark between 49th & 50th,4/1/18 5:52 AM,4/1/18 5:52 AM,18-00315
Ill person transported to ER by CFD EMS for evaluation and treatment,Medical Call,Closed,1025 E.58th St. (Bond Chapel),4/1/18 12:04 PM,4/1/18 12:04 PM,18-00316
Individual reports ongoing harassment by a family member via phone and email,Harassment by Electronic Means,Open,University between 54th & 55th,1/1/15 to 4/1/18 various times,4/1/18 4:57 PM,18-00317
Unattended coat with wallet in pocket taken from 9th floor nurse's station,Theft,Open,5700 S. Maryland (CCD),4/1/18 7:00 AM to 6:00 PM,4/1/18 6:32 PM,18-00318
An individual walking on the sidewalk off campus was approached from the rear by an unknown suspect who displayed a handgun and took the victims cell phone and wallet before fleeing westbound on foot. The victim reported no physical injuries. CPD case JB207916,Information / Armed Robbery,CPD,1221 E. 56th St. (Public Way),4/1/18 8:20 PM,4/1/18 8:42 PM,18-00319
UCPD officers responded to a call of an unknown suspicious subject standing on a resident's rear porch looking into the home / Suspect placed in custody by UCPD officers after a brief foot chase,Criminal Trespass to Land,Arrest,Blackstone between 55th & 56th,4/2/18 12:47 PM,4/2/18 12:47 PM,18-00320
Staff reported patient and mother missing from hospital prior to being officially discharged / Patient  and mother located at home later in the day,Missing Person,Closed,5811 S. Maryland (Comer Hospital),4/2/18 7:58 PM,4/2/18 7:58 PM,18-00321
Individual reports losing purse while in the Reynolds Club,Lost Property,Closed,5706 S. University (Reynolds Club),4/1/18 9:00 PM,4/3/18 10:52 AM,18-00322
"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",Criminal Sexual Assault,No Investigation Referred to Title IX Coordinator,6031 S. Ellis (Granville-Grossman RH),9/15/17 Unknown time,4/3/18 3:22 PM,CSA Report    18-022
Individual cut her hand when a glass pipette broke during an experiment / Transported to ER for evaluation and treatment,Injured Person,Closed,1020 E. 58th St. (Kent Lab),4/3/18 2:30 PM,4/3/18 2:33 PM,18-00323
"Unattended, unsecured laptop computer taken from table",Theft,Open,5640 S. University (Bartlett Commons),3/31/18 6:00 PM,4/3/18 4:17 PM,18-00324
UCPD and CPD officers responded to a report of a burglary in progress / CPD investigation of Aggravated Assault and / Non-Fatal Firearm Discharge - Gun Shot Injury / CPD cases JB210455; JB210555,Assist Other Agency,CPD,5318 S. Kimbark (Alley),4/3/18 10:09 PM,4/3/18 10:09 PM,18-00325
